,Média,Mediana,Min,Max,Desvio
MDVP:Fo(Hz),154.23,148.79,88.33,260.1,41.39
MDVP:Fhi(Hz),197.1,175.83,102.14,592.03,91.49
MDVP:Flo(Hz),116.32,104.32,65.48,239.17,43.52
MDVP:Jitter(%),0.01,0.0,0.0,0.03,0.0
MDVP:Jitter(Abs),0.0,0.0,0.0,0.0,0.0
MDVP:RAP,0.0,0.0,0.0,0.02,0.0
MDVP:PPQ,0.0,0.0,0.0,0.02,0.0
Jitter:DDP,0.01,0.01,0.0,0.06,0.01
MDVP:Shimmer,0.03,0.02,0.01,0.12,0.02
MDVP:Shimmer(dB),0.28,0.22,0.08,1.3,0.19
Shimmer:APQ3,0.02,0.01,0.0,0.06,0.01
Shimmer:APQ5,0.02,0.01,0.01,0.08,0.01
MDVP:APQ,0.02,0.02,0.01,0.14,0.02
Shimmer:DDA,0.05,0.04,0.01,0.17,0.03
NHR,0.02,0.01,0.0,0.31,0.04
HNR,21.89,22.08,8.44,33.05,4.43
RPDE,0.5,0.5,0.26,0.69,0.1
DFA,0.72,0.72,0.57,0.83,0.06
spread1,-5.68,-5.72,-7.96,-2.43,1.09
spread2,0.23,0.22,0.01,0.45,0.08
D2,2.38,2.36,1.42,3.67,0.38
PPE,0.21,0.19,0.04,0.53,0.09
